Gene Symbol	Output	NSG	WT	IO
Atad2b	0.06286248484395383	-0.03235054534307149	0.27997238440537925	0.2779966740630908
Atf2	-0.23699763804663712	0.12302240089122729	0.11654970612112679	0.0197675185893461
Atf7ip	-0.04305647389385781	-0.25290373383529635	-0.15792372008674135	-0.01212833396878247
Atf7ip2	-0.03778397619447559	0.25439185731705366	0.03689725775576962	0.1597827182432948
Atm	-0.7490418761547946	0.6177611075653969	-0.21002181259910302	-0.06202119151638726
Atn1	0.26541067656308964	-0.06529105608680719	0.06728293205316839	-0.16007282488644167
Atr	-0.07935086014315518	0.42622955313244487	-0.1339353828650236	-0.18920118433954192
Atrx	-0.7011531784385912	-0.11064363953326649	-0.22228667320249243	-0.08175351961670985
Atxn7	0.6964392728223294	-0.21849011963283857	0.10495575278671365	0.06547966963546731
Atxn7l3	0.3509257643902833	0.48930838251879316	-0.28652450568993754	-0.060024972416180516
Aurka	0.2419229257004014	0.03680665232791528	-0.2058390377116898	-0.20682975225477118
Aurkb	0.005678407915335952	-0.21622253094339414	0.40127120095063645	0.43629543396507314
Aurkc	0.4107955222143214	-0.1222182998272457	-0.3724604462322032	-0.13968652790159677
Babam1	-0.23685931931823925	0.26012667272264883	0.18801107623728366	-0.019054763290803616
Babam2	-0.09427854471726738	0.23385701950861856	-0.008088312152691087	-0.039766940872681955
Bahd1	0.4747464024054641	-0.3134938897080333	-0.10168328695577004	-0.3351650606449473
Banp	0.052101196900509406	0.1638260629810143	0.29084673883833884	0.05378378926890729
Bap1	-0.7931210908786114	0.37128017261026286	0.2805408113277082	0.10747358979105297
Bard1	-0.11360499241395217	-0.24618004881826164	0.12779961603713574	0.19027955997416415
Baz1a	-0.46575326774080295	0.797988142339762	0.05501715375806268	0.04743596746187501
Baz1b	-1.2301968781378116	0.4179193304866154	0.12180908930367619	0.10513750496556606
Baz2a	-0.14453784439878814	-0.2016274624312547	0.028540232339418947	-0.07813109365292155
Baz2b	-0.15805796291850072	0.3133026400294931	0.08970489705241186	0.1317429955699115
Bcor	0.5045799758127484	0.09623151039534605	-0.3218827155623613	-0.47852220982850646
Bcorl1	0.682086814834571	-0.10490481149415583	0.1350922788310818	-0.06538337124397864
Bmi1	-0.06732640584776456	0.1789085583266188	0.26923775646202636	-0.32282521255652125
Bptf	-0.6516977313227375	-0.45484495235861894	0.21969953248603466	0.5353731255866006
Brca1	-0.054255713830717096	0.05337278844486156	0.067576474520632	0.45542537746843137
Brca2	0.20269833172682786	0.051377646535920064	0.252989507874981	0.029139865908706486
Brcc3	-0.15501844722901045	0.17454263874665857	0.19006274213445917	0.1673508144054011
Brd1	-0.8035345790216438	0.9531776523183608	-0.14917063498883157	-0.7426637847408362
Brd2	-1.2788532412944764	-0.013370762537624406	-0.10269658852812587	-0.17326198322243255
Brd3	0.13906188421723142	-0.11448445913401635	-0.0017448837451284616	0.06582183069240582
Brd4	-0.7081532157545075	0.1924466296811896	0.22594272099717547	0.5065027623708692
Brd7	0.589209478682351	-0.6350696835394508	0.740519067865072	1.176648664037552
Brd8	-0.15826583742775646	0.17217311309172242	0.24550458855103555	0.32928695130284197
Brd9	0.304927718706868	-0.8785913206114165	-0.5227032834631382	-0.8729916445685153
Brdt	-0.14378818293429443	0.19515787884843452	0.2474372826077492	0.1488132708899323
Brms1	0.438536433291969	-0.09352990714936192	-0.03762993621754529	0.22377687420483827
Brms1l	0.2540806387749726	0.037261907438468723	0.008500892868797183	-0.4002312173038976
Brpf1	0.26165108964208084	-0.5407361208188542	-0.08087264378267282	-0.5942998569082032
Brpf3	0.11788422493083357	-0.18584263987442387	0.09480893936216479	-0.141679291770982
Brwd1	-0.4902871120466244	0.4486240517407904	0.22065971973533446	0.19170729834984923
Brwd3	-0.12091475004669879	-0.23013656126046592	0.06760831355418014	-0.47468771475542915
Bub1	0.05683169879077598	0.6316638691121016	-0.3892196366164306	-0.09763219439266568
Carm1	-0.7281412131663306	-0.3150361474605395	0.11659301601544536	0.3104186241348165
